gameID,homeTeam,awayTeam,ref1,ref2,offendingTeam,penaltyType,penaltySeverity,penaltyMinutes,penaltyOn,drewBy,drawnByTeam
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Montreal Canadians,Hooking,Minor,2,8477494,8475166,Toronto Maple Leafs
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Montreal Canadians,Tripping,Minor,2,8477476,8475166,Toronto Maple Leafs
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Montreal Canadians,Tripping,Minor,2,8477503,8475172,Toronto Maple Leafs
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Toronto Maple Leafs,Too many men on the ice,Bench Minor,2,8477341,,
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Toronto Maple Leafs,Holding,Minor,2,8475786,8475848,Montreal Canadians
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Toronto Maple Leafs,Hooking,Minor,2,8480943,8474038,Montreal Canadians
2018020001,Toronto Maple Leafs,Montreal Canadians,4650,4600,Toronto Maple Leafs,Interference,Minor,2,8468493,8475848,Montreal Canadians
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Tripping,Minor,2,8476374,8474189,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Washington Capitals,Slashing,Minor,2,8477944,8477987,Boston Bruins
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Tripping,Minor,2,8473419,8477944,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Washington Capitals,Fighting,Major,5,8477474,8476374,Boston Bruins
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Holding,Minor,2,8476374,8477474,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Fighting,Major,5,8476374,8477474,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Cross checking,Minor,2,8476191,8477444,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Slashing,Minor,2,8470655,8474189,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Washington Capitals,Cross checking,Minor,2,8477474,8473419,Boston Bruins
2018020002,Washington Capitals,Boston Bruins,4604,6978,Washington Capitals,Fighting,Major,5,8474189,8473419,Boston Bruins
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Instigator,Minor,2,8473419,8474189,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Fighting,Major,5,8473419,8474189,Washington Capitals
2018020002,Washington Capitals,Boston Bruins,4604,6978,Boston Bruins,Misconduct,Misconduct,10,8473419,8474189,Washington Capitals
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Interference,Minor,2,8475790,8479346,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Fighting,Major,5,8475790,8474612,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Calgary Flames,Fighting,Major,5,8474612,8475790,Vancouver Canucks
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Hooking,Minor,2,8475790,8478585,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Calgary Flames,Slashing,Minor,2,8479314,8479442,Vancouver Canucks
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Hooking,Minor,2,8474091,8474673,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Slashing,Minor,2,8478444,8478396,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Tripping,Minor,2,8477937,8477497,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Tripping,Minor,2,8476884,8479346,Calgary Flames
2018020003,Vancouver Canucks,Calgary Flames,2490,2275,Vancouver Canucks,Delaying Game - Puck over glass,Minor,2,8476894,,
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,Anaheim Ducks,Interference,Minor,2,8476312,8478099,San Jose Sharks
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,San Jose Sharks,Tripping,Minor,2,8466138,8476854,Anaheim Ducks
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,Anaheim Ducks,Interference - Goalkeeper,Minor,2,8476857,8474889,San Jose Sharks
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,Anaheim Ducks,Tripping,Minor,2,8476312,8475834,San Jose Sharks
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,San Jose Sharks,Tripping,Minor,2,8475169,8476312,Anaheim Ducks
2018020004,San Jose Sharks,Anaheim Ducks,6974,2072,San Jose Sharks,Interference,Minor,2,8474053,8480748,Anaheim Ducks
2018020005,Buffalo Sabres,Boston Bruins,2459,2458,Buffalo Sabres,Slashing,Minor,2,8471743,8477956,Boston Bruins
2018020005,Buffalo Sabres,Boston Bruins,2459,2458,Boston Bruins,Slashing,Minor,2,8478046,8479268,Buffalo Sabres
2018020005,Buffalo Sabres,Boston Bruins,2459,2458,Boston Bruins,Roughing,Minor,2,8465009,8471743,Buffalo Sabres
2018020005,Buffalo Sabres,Boston Bruins,2459,2458,Boston Bruins,Roughing,Minor,2,8479325,8471743,Buffalo Sabres
2018020005,Buffalo Sabres,Boston Bruins,2459,2458,Buffalo Sabres,Roughing,Minor,2,8471743,8479325,Boston Bruins
2018020006,New York Rangers,Nashville Predators,2294,2520,New York Rangers,Cross checking,Minor,2,8475184,8478042,Nashville Predators
2018020006,New York Rangers,Nashville Predators,2294,2520,Nashville Predators,Holding,Minor,2,8474736,8479968,New York Rangers
2018020006,New York Rangers,Nashville Predators,2294,2520,New York Rangers,Embellishment,Minor,2,8479968,8474736,Nashville Predators
2018020006,New York Rangers,Nashville Predators,2294,2520,Nashville Predators,Slashing,Minor,2,8474068,8476869,New York Rangers
2018020006,New York Rangers,Nashville Predators,2294,2520,Nashville Predators,Interference,Minor,2,8474056,8475692,New York Rangers
2018020006,New York Rangers,Nashville Predators,2294,2520,New York Rangers,Too many men on the ice,Bench Minor,2,8475793,8476480,Nashville Predators
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Interference,Minor,2,8471702,8473544,Pittsburgh Penguins
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Pittsburgh Penguins,Interference,Minor,2,8474176,8477944,Washington Capitals
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Pittsburgh Penguins,Slashing,Minor,2,8473548,8475744,Washington Capitals
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Hooking,Minor,2,8474189,8471215,Pittsburgh Penguins
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Tripping,Minor,2,8475792,8475810,Pittsburgh Penguins
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Hooking,Minor,2,8477474,8478866,Pittsburgh Penguins
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Slashing,Minor,2,8477944,8471677,Pittsburgh Penguins
2018020007,Pittsburgh Penguins,Washington Capitals,2308,4692,Washington Capitals,Hooking,Minor,2,8475744,8471675,Pittsburgh Penguins
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,New York Islanders,Hi-sticking,Minor,2,8478445,8478427,Carolina Hurricanes
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,Carolina Hurricanes,Holding,Minor,2,8477488,8474709,New York Islanders
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,New York Islanders,Holding,Minor,2,8477506,8476921,Carolina Hurricanes
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,Carolina Hurricanes,Interference,Minor,2,8478027,8475231,New York Islanders
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,New York Islanders,Broken stick,Minor,2,8474579,,
2018020008,Carolina Hurricanes,New York Islanders,2071,2320,Carolina Hurricanes,Tripping,Minor,2,8475907,8478445,New York Islanders
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Chicago Blackhawks,Tripping,Minor,2,8470543,8478400,Ottawa Senators
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Chicago Blackhawks,Face-off violation,Bench Minor,2,8479337,,
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Chicago Blackhawks,Slashing,Minor,2,8477366,8475227,Ottawa Senators
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Ottawa Senators,Slashing,Minor,2,8478400,8473573,Chicago Blackhawks
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Ottawa Senators,Tripping,Minor,2,8479320,8470543,Chicago Blackhawks
2018020009,Ottawa Senators,Chicago Blackhawks,4691,2450,Ottawa Senators,Tripping,Minor,2,8476919,8480035,Chicago Blackhawks
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Delaying Game - Puck over glass,Minor,2,8477479,,
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Holding,Minor,2,8479395,8476981,Columbus Blue Jackets
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Columbus Blue Jackets,Tripping,Minor,2,8478550,8470110,Detroit Red Wings
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Slashing,Minor,2,8471716,8478460,Columbus Blue Jackets
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Columbus Blue Jackets,Roughing,Minor,2,8476981,8480161,Detroit Red Wings
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Columbus Blue Jackets,Interference,Minor,2,8478506,8476960,Detroit Red Wings
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Delaying Game - Puck over glass,Minor,2,8477215,,
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Holding,Minor,2,8479425,8478460,Columbus Blue Jackets
2018020010,Detroit Red Wings,Columbus Blue Jackets,2457,4649,Detroit Red Wings,Hooking,Minor,2,8470598,8474062,Columbus Blue Jackets
2018020011,St. Louis Blues,Winnipeg Jets,2032,6818,St. Louis Blues,Hooking,Minor,2,8470151,8476460,Winnipeg Jets
2018020011,St. Louis Blues,Winnipeg Jets,2032,6818,St. Louis Blues,Tripping,Minor,2,8478407,8479339,Winnipeg Jets
2018020011,St. Louis Blues,Winnipeg Jets,2032,6818,Winnipeg Jets,Tripping,Minor,2,8476885,8478104,St. Louis Blues
2018020011,St. Louis Blues,Winnipeg Jets,2032,6818,Winnipeg Jets,Delaying Game - Puck over glass,Minor,2,8474574,,
